Country name,Region,Currency,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Source
Ecuador,Americas,USD,322,363,382,401,441,478,449,501,540,561,570,567,574,612,517,534,ILO SIALC
El Salvador,Americas,USD,247,261,266,278,272,271,279,302,298,300,302,307,327,344,358,356,Ministry of the Economy and General Direction for Statistics and Census
Guatemala,Americas,GTQ,,,,,,1967,1879,2026,2184,2186,2227,2182,2349,2377,,,Guatemala National Institute of Statistics
Honduras,Americas,HNL,,,,,,,5620,6577,6577,6403,6918,6799,6790,7490,8914,7127,Honduras National Statistical Institute
Mexico,Americas,MXN,5346,5651,5790,5882,5967,5989,6205,6406,6376,6580,6852,7120,7449,7828,8761,9210,Mexico National Employment Service Job Portal
Nicaragua,Americas,NIO,4824,4957,5342,6010,6320,6615,6989,7463,8147,8714,9292,10239,10757,10942,10979,11017,Ministry of Labour of Nicaragua (MITRAB)
Panama,Americas,PAB,547,577,608,635,706,744,817,987,1042,1115,1238,1359,1422,1185,1249,,Panama National Institute of Statistics and Census
Paraguay,Americas,PYG,1197727,1245448,1402030,1471791,1672724,1897702,1870844,2078105,2227875,2280272,2297543,2420838,2594088,2618616,2515179,2616388,ILO SIALC
Peru,Americas,PEN,866,937,995,1082,1100,1154,1178,1242,1310,1358,1452,1467,1510,1570,1479,1498,ILO SIALC
Puerto Rico,Americas,USD,1976,2063,2128,2197,2219,2223,2245,2240,2258,2288,2284,2298,2401,2370,2466,,US Bureau of Labor Statistics
Uruguay,Americas,UYU,9377,10537,11826,13703,14583,16683,17986,20217,22955,22755,27383,30293,32125,34746,36777,39983,ILO SIALC
Bahrain,Arab States,BHD,,661,703,744,811,899,910,734,746,757,774,768,801,793,803,816,Kingdom of Bahrain Labour Market Regulatory Authority
Jordan,Arab States,JOD,280,305,350,365,392,416,437,463,,484,493,500,524,543,546,,Jordan Department of Statistics
Kuwait,Arab States,KWD,394,438,485,520,545,622,678,647,736,795,764,747,789,,,,Kuwait Central Statistical Office
Lebanon,Arab States,LBP,,,,690000,,,,,,,,,,1175862,,,Lebanon Central Administration of Statistics
Oman,Arab States,OMR,177,197,217,228,228,313,350,378,599,643,696,703,673,705,,,Oman Ministry of the National Economy
Qatar,Arab States,QAR,5206,6318,7400,7792,,7401,8654,9667,10483,10568,10793,11099,11121,11308,11554,11703,Qatar Statistics Authority
Saudi Arabia,Arab States,SAR,,,,4470,,5031,5285,5580,6099,6413,6225,6093,6272,6313,6564,,ILOSTAT
Occupied Palestinian Territory,Arab States,JOD,,,,,,,,,,,,2436,2622,2776,2894,2928,ILOSTAT
